"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"CLUAP1",0.828077538929676,6.80316632777702,10.4905368935287,6.61707288857577e-21,8.21771373428757e-20,36.6940312515862,"up"
"MNS1",1.38300791418716,5.16732536676401,10.5044802968147,6.88538112412832e-21,8.5391948893339e-20,36.6589857606575,"up"
"PRRX1",0.826543975582674,7.46484556592984,10.4817415984674,7.03101208882503e-21,8.70786031439276e-20,36.6339222670323,"up"
"CCDC171",0.597848694100387,4.8672534692296,10.4789356271513,7.10849723156971e-21,8.79178159652828e-20,36.6227966527649,"up"
"IFT81",0.804372821520559,5.89898860648581,10.4784352774499,7.14497923172121e-21,8.82483022322287e-20,36.6177788823284,"up"
"APOBEC3C",0.516827986892859,7.19104258483985,10.4759267399082,7.25761348926944e-21,8.95171671984789e-20,36.6022312827166,"up"
"BMP2K",0.43939193896336,7.29654921495652,10.4708713862814,7.515196913735e-21,9.25679772439757e-20,36.5676825844295,"up"
"PLN",1.0601997625259,6.58146959115746,10.4779875738339,7.76283776334811e-21,9.54881853311976e-20,36.5381720471337,"up"
"ANO2",-0.728853793502732,5.83931978079481,-10.4644208308075,7.85713186738566e-21,9.65167516481437e-20,36.5236062851244,"down"
"MT4",-0.492987690474432,5.37290942575363,-10.4611772996462,8.03487751359654e-21,9.84326932255099e-20,36.5014465181872,"down"
"FRMD3",-0.496846620446378,5.29101156001298,-10.45624117849,8.31309133694162e-21,1.01703191850188e-19,36.4677269932838,"down"
"RSPO1",-0.494469985905941,5.58313503536369,-10.4556478329795,8.34717346485366e-21,1.01982155805057e-19,36.4636740693011,"down"
"ZNF436",0.49566287821527,6.40740896201759,10.4465019525094,8.89047211370621e-21,1.08473358137676e-19,36.4012107810459,"up"
"SMC6",0.626533353042765,7.01829518941535,10.4445191884838,9.01282355238089e-21,1.09817975386894e-19,36.387671362968,"up"
"DNAH6",1.68114436848736,5.44612903317369,10.4604579136035,9.58005290882595e-21,1.16511020679357e-19,36.3326956944667,"up"
"H2BC8",-0.563449186680448,4.19025698753413,-10.4355451420557,9.58789950065717e-21,1.16511020679357e-19,36.3264013690226,"down"
"DNAH7",1.59187174948751,5.65872926562665,10.4587589504874,9.65536728108176e-21,1.17173390051356e-19,36.3248155207893,"up"
"PRKCZ",-0.60392196855608,7.04151483749771,-10.4327551818511,9.77402561864384e-21,1.18454377504235e-19,36.3073562872313,"down"
"NELL2",1.28000175244711,5.58478863726064,10.4427885294445,1.03510963770263e-20,1.25280137007624e-19,36.2546036375867,"up"
"PDCD4",0.781893989604765,8.79495932376162,10.4234713945151,1.04196704584083e-20,1.25941498147686e-19,36.2439936630696,"up"
"PHIP",0.533008177753691,8.16214315529884,10.4159997442109,1.09700007065927e-20,1.3241625686022e-19,36.1930115800277,"up"
"KRTAP9-2",-0.394448372458055,4.87048784784985,-10.3975306880908,1.24577517594993e-20,1.50174044876844e-19,36.0670380065455,"down"
"CEACAM21",-0.488940132207752,4.74471455409375,-10.393188257214,1.28357670489095e-20,1.5452486003887e-19,36.0374292028995,"down"
"CLCN4",-0.537772231317205,5.34636839686302,-10.3920095643277,1.2940330750166e-20,1.55576503074801e-19,36.0293929615671,"down"
"LRBA",0.556304301404366,8.06991966085967,10.3882709312595,1.32776359459585e-20,1.59419796264822e-19,36.0039051015322,"up"
"AGER",-1.71243861788652,9.01009664003654,-10.4101690441963,1.35200125646907e-20,1.62114633418261e-19,35.9914501341703,"down"
"ALPP",-0.539050134318615,4.7502767106644,-10.381686918163,1.38930803337987e-20,1.66367336818376e-19,35.9590259733805,"down"
"PTGR1",0.630268503078397,7.49326357851928,10.3770676912335,1.43417428212269e-20,1.71512826516815e-19,35.9275448383716,"up"
"SCCPDH",0.469441240293352,7.72827991728774,10.3710809128235,1.4944768144371e-20,1.78488307520816e-19,35.8867499875817,"up"
"GPER1",-0.667969919107397,5.46386620008833,-10.3638699406757,1.57047127534859e-20,1.87317029029375e-19,35.8376230117069,"down"
"TALDO1",-0.487034907064153,8.22112486059426,-10.3612548274855,1.59897190973251e-20,1.90465151988032e-19,35.8198093753837,"down"
"TMEM232",1.96437014723359,6.67685570905141,10.3866782199904,1.60587959896983e-20,1.9103628229324e-19,35.8213618093221,"up"
"CD300E",-0.819351697132099,5.94780256275887,-10.3539294038797,1.69524975399781e-20,2.01402799289017e-19,35.7621622714711,"down"
"MAP2",-0.876513284597639,5.86435167380632,-10.3524002052031,1.74269828613786e-20,2.06768178542944e-19,35.7353793068321,"down"
"CCDC125",0.676130167355419,6.64031865086771,10.3458967879798,1.77705331208831e-20,2.10568007792797e-19,35.7152217709306,"up"
"RIPOR2",-0.786802513420325,6.13690040182668,-10.3450831304436,1.78904624316282e-20,2.11711611052815e-19,35.7085969777481,"down"
"SERPINI2",1.1288256928806,4.44984605501054,10.3582421348108,1.79728492961953e-20,2.12408536584185e-19,35.7071479434144,"up"
"ADGRE2",-0.674018457968685,6.21771648363668,-10.3427169262211,1.81632303319179e-20,2.1437828385231e-19,35.6935731122865,"down"
"CDON",0.720230860120089,6.63583147210706,10.3337467483054,1.93181913447224e-20,2.27712865642289e-19,35.6325149421499,"up"
"KIF21A",1.08313593396288,6.06694595599056,10.3456956758043,1.94067527125939e-20,2.28458920930418e-19,35.630819325364,"up"
"TUT4",0.472871935824865,7.4888552803008,10.3226088246662,2.08545208945278e-20,2.45182995328252e-19,35.5567245532511,"up"
"SIRPB2",-0.601136565969249,5.63632151068297,-10.3200503544515,2.12242695650833e-20,2.49206001477815e-19,35.5393185311393,"down"
"SLAMF7",1.28618131474111,6.62867693020163,10.3370296680121,2.14078572806694e-20,2.51035587126501e-19,35.5348912660562,"up"
"DIO3",-0.520510188285306,4.21034993377938,-10.3157649173901,2.18582793209962e-20,2.5576415170461e-19,35.5101664981126,"down"
"GRIA1",-1.27327661506225,5.87014651521663,-10.3337504783188,2.1867679379235e-20,2.5576415170461e-19,35.5138037201017,"down"
"PRTG",-0.670374074046354,5.00345594365074,-10.3142579359075,2.20856828829918e-20,2.5798017951567e-19,35.4999160431161,"down"
"MPDZ",0.629353758230463,7.65191320076761,10.3100550532162,2.27324207886253e-20,2.65192021096724e-19,35.4713306283011,"up"
"SEMA3B",-0.572391928606319,6.08136005262318,-10.3091995204368,2.28663619911111e-20,2.66410797373242e-19,35.4655122735836,"down"
"ADPRH",-0.502486521219118,5.10502469249458,-10.3085304973477,2.29716507379931e-20,2.67293042885708e-19,35.4609624507511,"down"
"GFOD1",-0.553829121340395,5.25886667003087,-10.3051926696543,2.35042034437544e-20,2.73138179093809e-19,35.4382642949889,"down"
"C12orf75",0.849365662114599,6.70380001718504,10.3057810078848,2.38520517713986e-20,2.76824647067028e-19,35.4243308454018,"up"
"MT1B",-0.601205866485089,6.17197997768625,-10.3006610611289,2.42469512264335e-20,2.81047033382289e-19,35.4074518254641,"down"
"PPP1R14C",0.825046527369021,6.59694832344953,10.2987678882155,2.48405068943523e-20,2.86667284445018e-19,35.3838682789757,"up"
"ADAP1",-0.488172289635353,5.81908569515001,-10.2970731770804,2.48515580334261e-20,2.86667284445018e-19,35.3830592174043,"down"
"ST8SIA4",0.680956172381142,7.16840727235705,10.2970315469202,2.48586606575483e-20,2.86667284445018e-19,35.3827762061996,"up"
"SLC38A6",0.546472264734352,7.13951568920627,10.2909090929874,2.59255414239921e-20,2.98589579636067e-19,35.3411583435844,"up"
"CFHR1",0.564563315702475,5.38840434606491,10.2878048197335,2.64837783369097e-20,3.0463083962341e-19,35.3200598089252,"up"
"DNAI4",1.65710189205824,6.39950151523052,10.3097125864284,2.68366369206631e-20,3.08297375349067e-19,35.3123373695669,"up"
"LMNTD2-AS1",-0.595761402612246,5.16692264863735,-10.2789985348854,2.81333825732838e-20,3.22784152087639e-19,35.2602179601421,"down"
"PTPRB",-0.995612045735597,8.00064207197935,-10.2881897795831,2.82365197231667e-20,3.23556875560393e-19,35.2587968252019,"down"
