"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZNF682",0.094804744693703,5.37193087686305,1.21969335833795,0.22397425617911,0.262741825628044,-6.67423560662091
"CHRDL1",-0.0836991362282991,8.42877982836737,-1.21887362138436,0.224283792357956,0.263070805229409,-6.67522973724742
"ARHGEF6",-0.0741981134999516,7.24465404120165,-1.21693683002408,0.225018307099554,0.263875006708998,-6.67757467955892
"MOCOS",0.0574004377965389,5.52644227481819,1.21691183974139,0.225027795788782,0.263875006708998,-6.677604912165
"RIOK1",0.0723776368715905,6.92333409004031,1.21655183430257,0.225164520057617,0.264001092704048,-6.67804036964706
"SERINC1",0.0634679632616866,9.71634970251502,1.21597715778897,0.225382896774511,0.264222869520015,-6.67873522704457
"TDRD7",0.046681943661425,6.69256680770526,1.21340896483771,0.226360670145708,0.265334736002508,-6.68183654587695
"SRGN",0.0762413887621367,8.80030409565614,1.2127777469183,0.226601456151805,0.265582546677271,-6.68259780745004
"ANP32E",0.0688743177408329,6.9099653382402,1.21228605001799,0.226789147585775,0.26576807301659,-6.68319053329436
"HLA-DQB2",0.100782058035373,8.68328557312754,1.21219889036326,0.226825862774136,0.265776649214744,-6.6832932671181
"TNFAIP8L1",-0.0685476159137508,4.52246186868536,-1.2120340688427,0.226885377569841,0.265811934509386,-6.68349419720396
"ACO1",-0.0567495644513123,8.06780767890401,-1.21133490072269,0.22715253895284,0.266090451499433,-6.68433644269344
"GAS2L2",0.0636942690944302,5.41961419620042,1.21082140043317,0.227348898051038,0.266285968037237,-6.68495472023627
"ASXL3",-0.0592935160136459,3.73603695407105,-1.21024517674677,0.227569387247251,0.266509693018445,-6.68564821186184
"ZNF277",-0.0445756377830522,5.60700091055159,-1.20899377406828,0.228048759024164,0.267015427687846,-6.68715316808251
"MFSD6",0.0637019196294606,8.51375513046075,1.2089636810223,0.228060295609506,0.267015427687846,-6.68718933954551
"PDGFRB",-0.0843501135102489,8.69594721329445,-1.20810813613734,0.228388455792177,0.267365017327084,-6.68821732239674
"SLC31A1",-0.0588404292769411,7.66554919447017,-1.20757404716389,0.228593487233269,0.267570393329362,-6.68885869506069
"AR",0.0576996470936892,5.53178288413623,1.20602916276394,0.229187296122599,0.268230724174035,-6.69071232981599
"RPSAP19",-0.0579963244641135,9.02344827087892,-1.20389869473622,0.230007999174741,0.26915639665271,-6.69326474111976
"SOBP",0.051497469508698,5.29901664844813,1.20336121120572,0.230215381784972,0.269364212076865,-6.69390797140122
"MPHOSPH6",0.0863381971321688,6.46770549248334,1.20310892618834,0.230312769588662,0.269443290612201,-6.694209794357
"KRTAP27-1",-0.0771021911144283,3.31322868973787,-1.19983909345003,0.231577670039358,0.270888046943439,-6.69811603615627
"OSR1",-0.0803005334781846,5.58785174347478,-1.19922531494247,0.231815656721729,0.271131352189024,-6.69884810610324
"TUBB4B",0.113959888548417,9.3549985654101,1.19890104600871,0.23195213081289,0.271251990900232,-6.69922721056143
"RSAD2",-0.120500151576033,5.54536459758949,-1.19883815195899,0.231978806950625,0.271251990900232,-6.69930058543012
"DLEU1",0.0501792733495403,5.32287294933887,1.19851303303653,0.232092056361918,0.271349318707889,-6.69969720060929
"ZNF492",0.0573002374820142,4.37790907537004,1.19749492803643,0.232487539071849,0.27177655039418,-6.70090999591241
"ZNF285",-0.0477338095076085,4.12708570972714,-1.19681074874661,0.23275357886759,0.272052373179299,-6.70172443850011
